Origem - Cidade,Destino - Cidade,Distance (GCD),Latitude_Origin,Longitude_Origin,Latitude_Destination,Longitude_Destination
Fernando de Noronha,Londrina,2965.299809,-3.85375,-32.419802,-23.476127,-51.117901
Londrina,Fernando de Noronha,2965.299809,-23.476127,-51.117901,-3.85375,-32.419802
Fernando de Noronha,Recife,541.188759,-3.85375,-32.419802,-8.058493,-34.884819
Recife,Fernando de Noronha,541.188759,-8.058493,-34.884819,-3.85375,-32.419802
Porto Príncipe,Brasília,3836.843394,18.547327,-72.339593,-10.333333,-53.2
Lusaca,Brasília,8801.582919,-15.41634,28.281841,-10.333333,-53.2
Curitiba,Campina Grande,2473.503896,-25.429596,-49.271272,-7.224674,-35.877129
Campina Grande,Curitiba,2473.503896,-7.224674,-35.877129,-25.429596,-49.271272
Fortaleza,Guarulhos,2350.44161,-3.793217,-38.528036,-23.467594,-46.52777
Guarulhos,Fortaleza,2350.44161,-23.467594,-46.52777,-3.793217,-38.528036
Belo Horizonte,Paris,8912.763375,-19.922732,-43.945095,48.85889,2.320041
La Paz,São Paulo,2375.902988,-16.495545,-68.133623,-23.550651,-46.633382
São Paulo,Brasília,1626.369869,-23.550651,-46.633382,-10.333333,-53.2
Rabat,Recife,5534.214398,34.021845,-6.840893,-8.058493,-34.884819
Recife,Rabat,5534.214398,-8.058493,-34.884819,34.021845,-6.840893
Nova York,Brasília,6065.09563,40.712728,-74.006015,-10.333333,-53.2
Brasília,Nova York,6065.09563,-10.333333,-53.2,40.712728,-74.006015
Bruxelas,Brasília,8762.583881,50.846737,4.352493,-10.333333,-53.2
Brasília,Bruxelas,8762.583881,-10.333333,-53.2,50.846737,4.352493
Nairóbi,Guarulhos,9272.329893,-1.302398,36.828851,-23.467594,-46.52777
Guarulhos,Nairóbi,9272.329893,-23.467594,-46.52777,-1.302398,36.828851
Brasília,Gotemburgo,9566.956716,-10.333333,-53.2,57.707233,11.967017
Gotemburgo,Brasília,9566.956716,57.707233,11.967017,-10.333333,-53.2
São Paulo,Gotemburgo,10534.385282,-23.550651,-46.633382,57.707233,11.967017
Genebra,Brasília,8609.506134,46.201756,6.146601,-10.333333,-53.2
Brasília,Genebra,8609.506134,-10.333333,-53.2,46.201756,6.146601
Porto Alegre,Rio de Janeiro,1123.76133,-30.0325,-51.230377,-22.911014,-43.209373
Salvador,Porto Alegre,6327.886232,13.800038,-88.914068,-30.0325,-51.230377
Rio de Janeiro,Salvador,6434.912954,-22.911014,-43.209373,13.800038,-88.914068
São Paulo,Rio de Janeiro,357.009541,-23.550651,-46.633382,-22.911014,-43.209373
Rio de Janeiro,São Paulo,357.009541,-22.911014,-43.209373,-23.550651,-46.633382
Belo Horizonte,Rio de Janeiro,340.895189,-19.922732,-43.945095,-22.911014,-43.209373
Rio de Janeiro,Belo Horizonte,340.895189,-22.911014,-43.209373,-19.922732,-43.945095
Rio de Janeiro,Belém,2452.904013,-22.911014,-43.209373,-1.45056,-48.468245
Belém,Rio de Janeiro,2452.904013,-1.45056,-48.468245,-22.911014,-43.209373
Rio de Janeiro,Brasília,1755.882124,-22.911014,-43.209373,-10.333333,-53.2
Brasília,Rio de Janeiro,1755.882124,-10.333333,-53.2,-22.911014,-43.209373
Salvador,Rio de Janeiro,6434.912954,13.800038,-88.914068,-22.911014,-43.209373
Porto Alegre,Salvador,6327.886232,-30.0325,-51.230377,13.800038,-88.914068
Brasília,Assunção,1726.55158,-10.333333,-53.2,-25.280046,-57.634381
Goiânia,Nairóbi,9548.698429,-16.680882,-49.253269,-1.302398,36.828851
Nairóbi,Goiânia,9548.698429,-1.302398,36.828851,-16.680882,-49.253269
Fortaleza,São Paulo,2363.122218,-3.793217,-38.528036,-23.550651,-46.633382
São Paulo,Fortaleza,2363.122218,-23.550651,-46.633382,-3.793217,-38.528036
Washington,São Paulo,7630.707782,38.895098,-77.036385,-23.550651,-46.633382
São Paulo,Washington,7630.707782,-23.550651,-46.633382,38.895098,-77.036385
Guarulhos,Santiago,5491.94914,-23.467594,-46.52777,9.869479,-83.798075
Vitória,Rio de Janeiro,13346.31795,-36.59861,144.678005,-22.911014,-43.209373
Manaus,Brasília,1096.111317,-3.131633,-59.982504,-10.333333,-53.2
Boa Vista,Manaus,666.306751,2.820848,-60.671958,-3.131633,-59.982504
Manaus,Boa Vista,666.306751,-3.131633,-59.982504,2.820848,-60.671958
Pequim,Riad,6600.567951,39.905714,116.391297,24.638916,46.71601
Recife,Riad,9541.943434,-8.058493,-34.884819,24.638916,46.71601
Sofia,Riad,2933.947719,42.697703,23.321736,24.638916,46.71601
Rio de Janeiro,Santarém,7786.740049,-22.911014,-43.209373,39.236364,-8.686708
Santarém,Rio de Janeiro,7786.740049,39.236364,-8.686708,-22.911014,-43.209373
Nuremberg,Brasília,9104.576165,49.453872,11.077298,-10.333333,-53.2
